id,title,year,slug,runtime_min,sktorrent_video_id,sktorrent_cdn,sktorrent_qualities,has_dub,has_subtitles,csfd_rating,imdb_rating,priority_score,imdb_id,csfd_id,detail_url,prehrajto_verdict,prehrajto_candidates,prehrajto_best_url,prehrajto_best_title,prehrajto_search_url
49,Lví král,1994,lvi-kral,,56413,8,"720p,480p",t,t,84,8.5,16.90,tt0110357,24537,https://ceskarepublika.wiki/filmy-online/lvi-kral/,NONE,0,,,https://prehraj.to/hledej/Lv%C3%AD%20kr%C3%A1l
182,Batman začíná,2005,batman-zacina,,6950,3,"720p,480p,360p",t,f,87,8.2,16.90,tt0372784,136224,https://ceskarepublika.wiki/filmy-online/batman-zacina/,FOUND,22,https://prehraj.to/batman-zacina-2005-cz-dabing/6060861ac8e97,Batman začíná (2005) CZ Dabing,https://prehraj.to/hledej/Batman%20za%C4%8D%C3%ADn%C3%A1
168,Umění létat 3D,2011,the-art-of-flight,,19988,11,"720p,480p",f,t,85,8.2,16.70,tt1646967,293158,https://ceskarepublika.wiki/filmy-online/the-art-of-flight/,NONE,0,,,https://prehraj.to/hledej/Um%C4%9Bn%C3%AD%20l%C3%A9tat%203D
370,Škola základ života,1938,skola-zaklad-zivota,,34993,24,"480p,240p",t,f,87,7.9,16.60,tt0152462,3157,https://ceskarepublika.wiki/filmy-online/skola-zaklad-zivota/,FOUND,32,https://prehraj.to/skola-zaklad-zivota-cesta-do-hlubin-studakovy-duse-hd-16-9/67742e277d8b4,Škola základ života+Cesta do hlubin študákovy duše HD (16-9),https://prehraj.to/hledej/%C5%A0kola%20z%C3%A1klad%20%C5%BEivota
132,Oppenheimer,2023,oppenheimer,,33115,14,"720p,480p",t,t,83,8.2,16.50,tt15398776,1091993,https://ceskarepublika.wiki/filmy-online/oppenheimer/,MAYBE,1,https://prehraj.to/oppenheimer-2023-en-1920x1080p/b2a11efa47ed4c0b,Oppenheimer (2023) EN 1920x1080p,https://prehraj.to/hledej/Oppenheimer
632,Medvěd,1988,medved,,24432,18,"720p,480p",t,f,87,7.7,16.40,tt0095800,168,https://ceskarepublika.wiki/filmy-online/medved/,NONE,0,,,https://prehraj.to/hledej/Medv%C4%9Bd
334,Zimní prázdniny,2023,zimni-prazdniny,,36770,15,"720p,480p",t,f,81,7.9,16.00,tt14849194,1290476,https://ceskarepublika.wiki/filmy-online/zimni-prazdniny/,MAYBE,1,https://prehraj.to/zimni-prazdniny-2023-cz-1080p/79d088cc53435f22,Zimní prázdniny (2023) cz 1080p,https://prehraj.to/hledej/Zimn%C3%AD%20pr%C3%A1zdniny
849,Better Man,2024,polepseny-robbie-williams,,49476,24,"720p,480p",t,t,82,7.5,15.70,tt14260836,1128959,https://ceskarepublika.wiki/filmy-online/polepseny-robbie-williams/,MAYBE,1,https://prehraj.to/better-man-2024-cztitulky/26bad780008ba0cb,Better Man 2024- CZtitulky,https://prehraj.to/hledej/Better%20Man
796,50/50,2011,5050,,13895,7,"720p,480p",t,t,80,7.6,15.60,tt1306980,264993,https://ceskarepublika.wiki/filmy-online/5050/,FOUND,16,https://prehraj.to/50-50-2011/5aab848ebb673,50/50 (2011),https://prehraj.to/hledej/50%2050
2963,Lví král,2019,lvi-kral-2019,,4637,24,"480p,240p",t,f,87,6.8,15.50,tt6105098,6741,https://ceskarepublika.wiki/filmy-online/lvi-kral-2019/,NONE,0,,,https://prehraj.to/hledej/Lv%C3%AD%20kr%C3%A1l
270,Přátelé: Zase spolu,2021,pratele-zase-spolu,,18579,18,"720p,480p",t,t,75,8,15.50,tt11337862,1027074,https://ceskarepublika.wiki/filmy-online/pratele-zase-spolu/,NONE,0,,,https://prehraj.to/hledej/P%C5%99%C3%A1tel%C3%A9
